Data     ,Ora     ,Echipa 1     ,Echipa 2     ,Cota 1     ,Cota X     ,Cota 2     ,Cota Peste 2.5     ,Cota Sub 2.5     ,GG/NG(DA)    ,GG/NG(NU)   
mie.,21:45,Arsenal,Everton,1.36,5.00,9.00,1.80,2.00,2.20,1.67
mie.,22:00,Liverpool,Wolverhampton,1.50,4.75,6.50,1.70,2.15,1.90,1.90
sam.,14:30,ManchesterCity,Newcastle,1.45,4.75,6.50,1.65,2.25,1.90,1.90
sam.,17:00,Arsenal,Bournemouth,1.25,6.50,12.00,1.60,2.35,2.25,1.65
sam.,17:00,AstonVilla,CrystalPalace,2.05,3.30,4.00,2.25,1.65,2.00,1.80
sam.,17:00,Brighton,WestHam,1.80,3.75,4.40,1.90,1.90,1.90,1.90
sam.,17:00,Chelsea,Leeds,1.65,4.00,5.25,1.85,1.95,1.90,1.90
sam.,17:00,Wolverhampton,Tottenham,3.20,3.50,2.25,1.95,1.85,1.80,2.00
sam.,19:30,Southampton,Leicester,2.70,3.40,2.65,2.00,1.80,1.80,2.00
dum.,16:00,NottinghamForest,Everton,2.75,3.10,2.80,2.50,1.53,2.10,1.75
dum.,18:30,Liverpool,ManchesterUtd,2.45,3.60,2.80,1.67,2.20,1.57,2.40
lun.,22:00,Brentford,Fulham,2.05,3.60,3.70,1.95,1.85,1.85,1.95
11.03,14:30,Bournemouth,Liverpool,6.50,4.75,1.50,1.60,2.35,1.75,2.10
11.03,17:00,Everton,Brentford,2.70,3.20,2.80,2.25,1.65,1.90,1.90
11.03,17:00,Leicester,Chelsea,3.90,3.60,1.95,1.90,1.90,1.80,2.00
11.03,17:00,Leeds,Brighton,3.50,3.50,2.15,1.90,1.90,1.70,2.15
11.03,17:00,Tottenham,NottinghamForest,1.50,4.60,6.50,1.75,2.10,1.90,1.90
11.03,19:30,CrystalPalace,ManchesterCity,8.50,5.25,1.36,1.65,2.25,2.00,1.80
12.03,16:00,Fulham,Arsenal,5.25,4.20,1.65,1.80,2.00,1.90,1.90
12.03,16:00,WestHam,AstonVilla,2.15,3.50,3.50,1.95,1.85,1.80,2.00
12.03,16:00,ManchesterUtd,Southampton,1.38,5.25,8.00,1.60,2.35,1.90,1.90
12.03,18:30,Newcastle,Wolverhampton,1.80,3.70,4.60,2.10,1.75,1.95,1.85
15.03,21:30,Southampton,Brentford,2.70,3.25,2.50,2.00,1.72
16.03,21:30,Brighton,CrystalPalace,1.45,4.20,6.50,1.75,1.95
17.03,22:00,NottinghamForest,Newcastle,4.75,3.60,1.67,1.95,1.75
18.03,17:00,AstonVilla,Bournemouth,1.67,3.50,5.00,2.05,1.70
18.03,17:00,Southampton,Tottenham,3.50,3.50,1.95,1.85,1.85
18.03,17:00,Brentford,Leicester,1.90,3.60,3.75,1.80,1.90
18.03,17:00,Wolverhampton,Leeds,2.10,3.30,3.30,1.95,1.75
18.03,17:00,Liverpool,Fulham,1.33,5.00,8.00,1.47,2.50
18.03,19:30,Chelsea,Everton,1.50,3.80,7.00,2.00,1.72
19.03,16:00,Brighton,ManchesterUtd,2.10,3.60,3.10,1.65,2.10
19.03,16:00,Arsenal,CrystalPalace,1.30,4.75,10.00,1.70,2.05
19.03,18:30,ManchesterCity,WestHam,1.28,5.00,9.50,1.60,2.20
01.04,14:30,ManchesterCity,Liverpool,1.65,4.00,4.60,1.60,2.20
01.04,17:00,Bournemouth,Fulham,2.80,3.20,2.45,2.10,1.65
01.04,17:00,NottinghamForest,Wolverhampton,3.00,3.00,2.40,2.30,1.55
01.04,17:00,Brighton,Brentford,1.65,3.90,4.75,1.65,2.10
01.04,17:00,CrystalPalace,Leicester,2.40,3.20,2.90,2.10,1.65
01.04,17:00,Arsenal,Leeds,1.30,5.00,8.50,1.50,2.40
01.04,19:30,Chelsea,AstonVilla,1.65,3.60,5.25,1.95,1.75
02.04,16:00,WestHam,Southampton,1.80,3.40,4.40,2.10,1.65
02.04,18:30,Newcastle,ManchesterUtd,2.05,3.50,3.40,1.85,1.85
03.04,22:00,Everton,Tottenham,3.40,3.30,2.05,1.95,1.75
